date,Open Interest,Dealer Longs,Dealer Shorts,Dealer Spreads,Asset Manager Longs,Asset Manager Shorts,Asset Manager Spreads,Leveraged Funds Longs,Leveraged Funds Shorts,Leveraged Funds Spreads,Other Reportable Longs,Other Reportable Shorts,Other Reportable Spreads,Total Reportable Longs,Total Reportable Shorts,Non Reportable Longs,Non Reportable Shorts
2021-04-20,8817.0,516.0,87.0,70.0,372.0,554.0,0.0,2616.0,6709.0,328.0,2173.0,268.0,90.0,6165.0,8106.0,2652.0,711.0
2021-04-27,8429.0,489.0,41.0,305.0,369.0,869.0,20.0,1991.0,5464.0,325.0,2040.0,169.0,205.0,5744.0,7398.0,2685.0,1031.0
2021-05-04,8306.0,500.0,93.0,151.0,370.0,994.0,20.0,2544.0,5507.0,328.0,2020.0,258.0,87.0,6020.0,7438.0,2286.0,868.0
2021-05-11,8259.0,516.0,113.0,131.0,377.0,910.0,112.0,2327.0,5409.0,382.0,2152.0,271.0,110.0,6107.0,7438.0,2152.0,821.0
2021-05-18,9160.0,572.0,96.0,69.0,356.0,1085.0,0.0,3302.0,6123.0,419.0,2402.0,302.0,221.0,7341.0,8315.0,1819.0,845.0
2021-05-25,8893.0,381.0,132.0,65.0,404.0,651.0,60.0,2261.0,5748.0,535.0,2564.0,336.0,552.0,6822.0,8079.0,2071.0,814.0
2021-06-01,7318.0,228.0,145.0,80.0,407.0,619.0,31.0,2081.0,4949.0,369.0,2144.0,269.0,78.0,5418.0,6540.0,1900.0,778.0
2021-06-08,7566.0,235.0,181.0,40.0,382.0,739.0,41.0,2507.0,4964.0,352.0,1915.0,233.0,191.0,5663.0,6741.0,1903.0,825.0
2021-06-15,7528.0,227.0,153.0,50.0,517.0,629.0,5.0,2603.0,5090.0,489.0,1604.0,199.0,182.0,5677.0,6797.0,1851.0,731.0
2021-06-22,7914.0,255.0,145.0,81.0,419.0,739.0,0.0,2563.0,4927.0,474.0,1910.0,361.0,299.0,6001.0,7026.0,1913.0,888.0
2021-06-29,6788.0,248.0,120.0,49.0,542.0,613.0,0.0,2291.0,4357.0,416.0,1389.0,180.0,238.0,5173.0,5973.0,1615.0,815.0
2021-07-06,6889.0,280.0,117.0,82.0,504.0,497.0,0.0,2412.0,4603.0,403.0,1384.0,184.0,221.0,5286.0,6107.0,1603.0,782.0
2021-07-13,7129.0,295.0,102.0,74.0,546.0,496.0,0.0,2696.0,4923.0,353.0,1484.0,226.0,139.0,5587.0,6313.0,1542.0,816.0
2021-07-20,8283.0,341.0,120.0,48.0,560.0,602.0,0.0,3738.0,5724.0,429.0,1373.0,262.0,230.0,6719.0,7415.0,1564.0,868.0
2021-07-27,7802.0,195.0,105.0,104.0,494.0,165.0,13.0,2800.0,4841.0,1197.0,984.0,306.0,323.0,6110.0,7054.0,1692.0,748.0
2021-08-03,6408.0,232.0,74.0,140.0,643.0,234.0,0.0,1969.0,4782.0,206.0,1571.0,169.0,42.0,4803.0,5647.0,1605.0,761.0
2021-08-10,6769.0,281.0,51.0,69.0,629.0,275.0,0.0,1995.0,5113.0,188.0,1749.0,231.0,84.0,4995.0,6011.0,1774.0,758.0
2021-08-17,7363.0,288.0,52.0,92.0,672.0,311.0,9.0,2292.0,5542.0,199.0,1845.0,239.0,103.0,5500.0,6547.0,1863.0,816.0
2021-08-24,7515.0,252.0,110.0,32.0,695.0,311.0,9.0,2016.0,5302.0,591.0,1864.0,247.0,133.0,5592.0,6735.0,1923.0,780.0
2021-08-31,6362.0,326.0,139.0,58.0,702.0,370.0,9.0,1810.0,4797.0,151.0,1586.0,247.0,0.0,4642.0,5771.0,1720.0,591.0
2021-09-07,6659.0,302.0,161.0,44.0,621.0,378.0,9.0,1684.0,4990.0,182.0,1923.0,210.0,44.0,4809.0,6018.0,1850.0,641.0
2021-09-14,6620.0,357.0,195.0,51.0,502.0,451.0,65.0,1780.0,4496.0,218.0,1612.0,210.0,224.0,4809.0,5910.0,1811.0,710.0
2021-09-21,7348.0,360.0,145.0,79.0,519.0,471.0,25.0,1971.0,4939.0,633.0,1916.0,210.0,0.0,5503.0,6502.0,1845.0,846.0
2021-09-28,7039.0,479.0,144.0,97.0,559.0,413.0,9.0,1338.0,4956.0,431.0,2642.0,210.0,4.0,5559.0,6264.0,1480.0,775.0
2021-10-05,8886.0,503.0,533.0,78.0,487.0,399.0,9.0,1710.0,5994.0,865.0,3472.0,210.0,4.0,7128.0,8092.0,1758.0,794.0
2021-10-12,10918.0,485.0,1010.0,153.0,696.0,320.0,9.0,2148.0,6863.0,1293.0,4204.0,211.0,179.0,9167.0,10038.0,1751.0,880.0
2021-10-19,13605.0,490.0,1264.0,133.0,839.0,354.0,9.0,2072.0,8317.0,1443.0,4153.0,219.0,598.0,9737.0,12337.0,3868.0,1268.0
2021-10-26,16671.0,530.0,1485.0,141.0,1794.0,514.0,230.0,3185.0,9423.0,2403.0,2498.0,414.0,1080.0,11861.0,15690.0,4810.0,981.0
2021-11-02,13512.0,554.0,1429.0,203.0,4807.0,691.0,34.0,2957.0,8642.0,856.0,1471.0,218.0,687.0,11569.0,12760.0,1943.0,752.0
2021-11-09,13821.0,586.0,1422.0,196.0,4980.0,750.0,28.0,2620.0,8676.0,1104.0,1638.0,220.0,598.0,11750.0,12994.0,2071.0,827.0
2021-11-16,13648.0,629.0,1176.0,146.0,5139.0,779.0,9.0,2236.0,8182.0,1210.0,1280.0,268.0,991.0,11640.0,12761.0,2008.0,887.0
2021-11-23,14357.0,617.0,1334.0,107.0,5395.0,750.0,56.0,2414.0,7063.0,869.0,1590.0,300.0,1215.0,12263.0,11694.0,2094.0,2663.0
2021-11-30,13197.0,587.0,1336.0,75.0,5726.0,702.0,29.0,2374.0,7811.0,628.0,1662.0,1494.0,305.0,11386.0,12380.0,1811.0,817.0
2021-12-07,13242.0,479.0,1082.0,87.0,5826.0,718.0,36.0,1997.0,8095.0,870.0,1735.0,933.0,544.0,11574.0,12365.0,1668.0,877.0
