date,Open Interest,Dealer Longs,Dealer Shorts,Dealer Spreads,Asset Manager Longs,Asset Manager Shorts,Asset Manager Spreads,Leveraged Funds Longs,Leveraged Funds Shorts,Leveraged Funds Spreads,Other Reportable Longs,Other Reportable Shorts,Other Reportable Spreads,Total Reportable Longs,Total Reportable Shorts,Non Reportable Longs,Non Reportable Shorts
2018-09-11,2711.0,0.0,0.0,0.0,0.0,199.0,10.0,1630.0,1322.0,198.0,116.0,727.0,14.0,1968.0,2470.0,743.0,241.0
2018-09-18,2742.0,0.0,0.0,0.0,0.0,140.0,10.0,1566.0,1382.0,203.0,90.0,654.0,15.0,1884.0,2404.0,858.0,338.0
2018-09-25,2746.0,0.0,1.0,35.0,0.0,131.0,18.0,1412.0,1420.0,277.0,213.0,539.0,2.0,1957.0,2423.0,789.0,323.0
2018-10-02,2354.0,0.0,40.0,0.0,26.0,125.0,4.0,1237.0,1342.0,19.0,327.0,566.0,0.0,1613.0,2096.0,741.0,258.0
2018-10-09,2848.0,0.0,76.0,0.0,0.0,121.0,0.0,1643.0,1656.0,24.0,395.0,606.0,0.0,2062.0,2483.0,786.0,365.0
2018-10-16,2730.0,0.0,76.0,0.0,54.0,108.0,0.0,1606.0,1620.0,64.0,302.0,556.0,0.0,2026.0,2424.0,704.0,306.0
2018-10-23,3001.0,0.0,76.0,0.0,0.0,161.0,0.0,1659.0,1400.0,466.0,211.0,531.0,0.0,2336.0,2634.0,665.0,367.0
2018-10-30,2608.0,0.0,0.0,0.0,0.0,238.0,0.0,1789.0,1511.0,82.0,184.0,451.0,0.0,2055.0,2282.0,553.0,326.0
2018-11-06,2913.0,0.0,0.0,0.0,72.0,108.0,0.0,1877.0,1965.0,0.0,299.0,552.0,0.0,2248.0,2625.0,665.0,288.0
2018-11-13,3530.0,31.0,0.0,0.0,0.0,250.0,0.0,2462.0,2353.0,1.0,399.0,619.0,0.0,2893.0,3223.0,637.0,307.0
